gguf_tensor_name,rank,dimensions,parameter_count,type_id,type_name,block_size,bytes_per_block,nominal_bits_per_parameter,relative_offset,absolute_offset,packed_bytes,padding_after_bytes,payload_end_absolute,canonical_tensor_names,canonical_mapping_status,canonical_component,canonical_layer_id,initial_text_scope,packed_family,mapping_rule,evidence_ids
blk.0.hc_attn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,31789388800,31800413120,163840,0,31800576960,model.language_model.layers.0.attn_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_attn_norm.weight,1,10240,10240,0,F32,1,4,32.0,31789552640,31800576960,40960,0,31800617920,model.language_model.layers.0.attn_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_attn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,31789593600,31800617920,3481600,0,31804099520,model.language_model.layers.0.attn_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_ffn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,31793075200,31804099520,3481600,0,31807581120,model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_ffn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,31796556800,31807581120,163840,0,31807744960,model.language_model.layers.0.mlp_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_ffn_norm.weight,1,10240,10240,0,F32,1,4,32.0,31796720640,31807744960,40960,0,31807785920,model.language_model.layers.0.mlp_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_ffn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,31796761600,31807785920,3481600,0,31811267520,model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ssm_a,1,48,48,0,F32,1,4,32.0,31800243200,31811267520,192,0,31811267712,model.language_model.layers.0.linear_attn.A_log,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.ssm_alpha.weight,2,2560x48,122880,0,F32,1,4,32.0,31800243392,31811267712,491520,0,31811759232,model.language_model.layers.0.linear_attn.in_proj_a.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.ssm_beta.weight,2,2560x48,122880,0,F32,1,4,32.0,31800734912,31811759232,491520,0,31812250752,model.language_model.layers.0.linear_attn.in_proj_b.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.ssm_conv1d.weight,2,4x10240,40960,0,F32,1,4,32.0,31801226432,31812250752,163840,0,31812414592,model.language_model.layers.0.linear_attn.conv1d.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.ssm_dt.bias,1,48,48,0,F32,1,4,32.0,31801390272,31812414592,192,0,31812414784,model.language_model.layers.0.linear_attn.dt_bias,RENAMED_ONE_TO_ONE,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ssm_norm.weight,1,128,128,0,F32,1,4,32.0,31801390464,31812414784,512,0,31812415296,model.language_model.layers.0.linear_attn.norm.weight,RENAMED_ONE_TO_ONE,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ssm_out.weight,2,6144x2560,15728640,8,Q8_0,32,34,8.5,31801390976,31812415296,16711680,0,31829126976,model.language_model.layers.0.linear_attn.out_proj.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.attn_gate.weight,2,2560x6144,15728640,8,Q8_0,32,34,8.5,31818102656,31829126976,16711680,0,31845838656,model.language_model.layers.1.linear_attn.in_proj_z.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.attn_qkv.weight,2,2560x10240,26214400,8,Q8_0,32,34,8.5,31834814336,31845838656,27852800,0,31873691456,model.language_model.layers.1.linear_attn.in_proj_qkv.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ffn_down_exps.weight,3,640x2560x512,838860800,7,Q5_1,32,24,6.0,31862667136,31873691456,629145600,0,32502837056,model.language_model.layers.1.mlp.experts.down_proj,RENAMED_ONE_TO_ONE,routed_experts,1,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ffn_down_shexp.weight,2,640x2560,1638400,8,Q8_0,32,34,8.5,32491812736,32502837056,1740800,0,32504577856,model.language_model.layers.1.mlp.shared_expert.down_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,1,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ffn_gate_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,32493553536,32504577856,471859200,0,32976437056,model.language_model.layers.1.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,1,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.1.ffn_gate_inp.weight,2,2560x512,1310720,0,F32,1,4,32.0,32965412736,32976437056,5242880,0,32981679936,model.language_model.layers.1.mlp.gate.weight,RENAMED_ONE_TO_ONE,router,1,REQUIRED_INITIAL_TEXT,router,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ffn_gate_inp_shexp.weight,1,2560,2560,0,F32,1,4,32.0,32970655616,32981679936,10240,0,32981690176,model.language_model.layers.1.mlp.shared_expert_gate.weight,RENAMED_ONE_TO_ONE,shared_expert,1,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ffn_gate_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,32970665856,32981690176,1740800,0,32983430976,model.language_model.layers.1.mlp.shared_expert.gate_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,1,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ffn_up_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,32972406656,32983430976,471859200,0,33455290176,model.language_model.layers.1.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,1,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.1.ffn_up_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,33444265856,33455290176,1740800,0,33457030976,model.language_model.layers.1.mlp.shared_expert.up_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,1,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_attn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,33446006656,33457030976,3481600,0,33460512576,model.language_model.layers.1.attn_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_attn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,33449488256,33460512576,163840,0,33460676416,model.language_model.layers.1.attn_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_attn_norm.weight,1,10240,10240,0,F32,1,4,32.0,33449652096,33460676416,40960,0,33460717376,model.language_model.layers.1.attn_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_attn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,33449693056,33460717376,3481600,0,33464198976,model.language_model.layers.1.attn_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_ffn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,33453174656,33464198976,3481600,0,33467680576,model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_ffn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,33456656256,33467680576,163840,0,33467844416,model.language_model.layers.1.mlp_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_ffn_norm.weight,1,10240,10240,0,F32,1,4,32.0,33456820096,33467844416,40960,0,33467885376,model.language_model.layers.1.mlp_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.hc_ffn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,33456861056,33467885376,3481600,0,33471366976,model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,1,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ple_conv1d.weight,2,4x10240,40960,0,F32,1,4,32.0,33460342656,33471366976,163840,0,33471530816,model.language_model.layers.1.ple.conv1d.weight,TRANSFORMED_LAYOUT,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ple_key.weight,2,2560x10240,26214400,8,Q8_0,32,34,8.5,33460506496,33471530816,27852800,0,33499383616,model.language_model.layers.1.ple.key_proj.weight,RENAMED_ONE_TO_ONE,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ple_norm_conv.weight,1,10240,10240,0,F32,1,4,32.0,33488359296,33499383616,40960,0,33499424576,model.language_model.layers.1.ple.norm_conv.weight,TRANSFORMED_LAYOUT,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ple_norm_key.weight,1,10240,10240,0,F32,1,4,32.0,33488400256,33499424576,40960,0,33499465536,model.language_model.layers.1.ple.norm_key.weight,TRANSFORMED_LAYOUT,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ple_norm_query.weight,1,10240,10240,0,F32,1,4,32.0,33488441216,33499465536,40960,0,33499506496,model.language_model.layers.1.ple.norm_query.weight,TRANSFORMED_LAYOUT,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ple_value.weight,2,2560x2560,6553600,8,Q8_0,32,34,8.5,33488482176,33499506496,6963200,0,33506469696,model.language_model.layers.1.ple.value_proj.weight,RENAMED_ONE_TO_ONE,ple_dense,1,REQUIRED_INITIAL_TEXT,ple,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ssm_a,1,48,48,0,F32,1,4,32.0,33495445376,33506469696,192,0,33506469888,model.language_model.layers.1.linear_attn.A_log,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ssm_alpha.weight,2,2560x48,122880,0,F32,1,4,32.0,33495445568,33506469888,491520,0,33506961408,model.language_model.layers.1.linear_attn.in_proj_a.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ssm_beta.weight,2,2560x48,122880,0,F32,1,4,32.0,33495937088,33506961408,491520,0,33507452928,model.language_model.layers.1.linear_attn.in_proj_b.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ssm_conv1d.weight,2,4x10240,40960,0,F32,1,4,32.0,33496428608,33507452928,163840,0,33507616768,model.language_model.layers.1.linear_attn.conv1d.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.1.ssm_dt.bias,1,48,48,0,F32,1,4,32.0,33496592448,33507616768,192,0,33507616960,model.language_model.layers.1.linear_attn.dt_bias,RENAMED_ONE_TO_ONE,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ssm_norm.weight,1,128,128,0,F32,1,4,32.0,33496592640,33507616960,512,0,33507617472,model.language_model.layers.1.linear_attn.norm.weight,RENAMED_ONE_TO_ONE,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.1.ssm_out.weight,2,6144x2560,15728640,8,Q8_0,32,34,8.5,33496593152,33507617472,16711680,0,33524329152,model.language_model.layers.1.linear_attn.out_proj.weight,TRANSFORMED_LAYOUT,gdn,1,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.10.attn_gate.weight,2,2560x6144,15728640,8,Q8_0,32,34,8.5,47515656192,47526680512,16711680,0,47543392192,model.language_model.layers.10.linear_attn.in_proj_z.weight,TRANSFORMED_LAYOUT,gdn,10,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.10.attn_qkv.weight,2,2560x10240,26214400,8,Q8_0,32,34,8.5,47532367872,47543392192,27852800,0,47571244992,model.language_model.layers.10.linear_attn.in_proj_qkv.weight,TRANSFORMED_LAYOUT,gdn,10,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.10.ffn_down_exps.weight,3,640x2560x512,838860800,7,Q5_1,32,24,6.0,47560220672,47571244992,629145600,0,48200390592,model.language_model.layers.10.mlp.experts.down_proj,RENAMED_ONE_TO_ONE,routed_experts,10,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.ffn_down_shexp.weight,2,640x2560,1638400,8,Q8_0,32,34,8.5,48189366272,48200390592,1740800,0,48202131392,model.language_model.layers.10.mlp.shared_expert.down_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,10,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.ffn_gate_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,48191107072,48202131392,471859200,0,48673990592,model.language_model.layers.10.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,10,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.10.ffn_gate_inp.weight,2,2560x512,1310720,0,F32,1,4,32.0,48662966272,48673990592,5242880,0,48679233472,model.language_model.layers.10.mlp.gate.weight,RENAMED_ONE_TO_ONE,router,10,REQUIRED_INITIAL_TEXT,router,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.ffn_gate_inp_shexp.weight,1,2560,2560,0,F32,1,4,32.0,48668209152,48679233472,10240,0,48679243712,model.language_model.layers.10.mlp.shared_expert_gate.weight,RENAMED_ONE_TO_ONE,shared_expert,10,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.ffn_gate_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,48668219392,48679243712,1740800,0,48680984512,model.language_model.layers.10.mlp.shared_expert.gate_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,10,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.ffn_up_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,48669960192,48680984512,471859200,0,49152843712,model.language_model.layers.10.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,10,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.10.ffn_up_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,49141819392,49152843712,1740800,0,49154584512,model.language_model.layers.10.mlp.shared_expert.up_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,10,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_attn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,49143560192,49154584512,3481600,0,49158066112,model.language_model.layers.10.attn_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_attn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,49147041792,49158066112,163840,0,49158229952,model.language_model.layers.10.attn_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_attn_norm.weight,1,10240,10240,0,F32,1,4,32.0,49147205632,49158229952,40960,0,49158270912,model.language_model.layers.10.attn_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_attn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,49147246592,49158270912,3481600,0,49161752512,model.language_model.layers.10.attn_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_ffn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,49150728192,49161752512,3481600,0,49165234112,model.language_model.layers.10.mlp_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_ffn_inject.weight,2,10240x4,40960,0,F32,1,4,32.0,49154209792,49165234112,163840,0,49165397952,model.language_model.layers.10.mlp_hyper_connection.block_inject_weight.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_ffn_norm.weight,1,10240,10240,0,F32,1,4,32.0,49154373632,49165397952,40960,0,49165438912,model.language_model.layers.10.mlp_hyper_connection.hc_norm.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.10.hc_ffn_up.weight,2,320x10240,3276800,8,Q8_0,32,34,8.5,49154414592,49165438912,3481600,0,49168920512,model.language_model.layers.10.mlp_hyper_connection.input_mix_weight_up.weight,RENAMED_ONE_TO_ONE,gated_residual,10,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
