tensor_name,shard,dtype,shape,rank,parameter_count,payload_bytes,subsystem,component,layer_id,expert_id,initial_text_scope,classification_rule,placement_candidate,notes
model.language_model.layers.0.linear_attn.conv1d.weight,model-00001-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.dt_bias,model-00001-of-00131.safetensors,BF16,48,1,48,96,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.in_proj_a.weight,model-00001-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.in_proj_b.weight,model-00001-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.in_proj_qkv.weight,model-00001-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.in_proj_z.weight,model-00001-of-00131.safetensors,BF16,6144x2560,2,15728640,31457280,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.norm.weight,model-00001-of-00131.safetensors,BF16,128,1,128,256,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.out_proj.weight,model-00001-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp.experts.down_proj,model-00003-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,0,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.0.mlp.experts.gate_up_proj,model-00002-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,0,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.0.mlp.gate.weight,model-00003-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp.shared_expert.down_proj.weight,model-00003-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp.shared_expert.gate_proj.weight,model-00003-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp.shared_expert.up_proj.weight,model-00003-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp.shared_expert_gate.weight,model-00003-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp_hyper_connection.block_inject_weight.weight,model-00003-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp_hyper_connection.hc_norm.weight,model-00003-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_down.weight,model-00003-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_up.weight,model-00003-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.attn_hyper_connection.block_inject_weight.weight,model-00003-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.attn_hyper_connection.hc_norm.weight,model-00003-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.attn_hyper_connection.input_mix_weight_down.weight,model-00003-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.attn_hyper_connection.input_mix_weight_up.weight,model-00003-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.A_log,model-00003-of-00131.safetensors,BF16,48,1,48,96,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.conv1d.weight,model-00003-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.dt_bias,model-00003-of-00131.safetensors,BF16,48,1,48,96,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.in_proj_a.weight,model-00003-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.in_proj_b.weight,model-00003-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.in_proj_qkv.weight,model-00003-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.in_proj_z.weight,model-00003-of-00131.safetensors,BF16,6144x2560,2,15728640,31457280,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.norm.weight,model-00003-of-00131.safetensors,BF16,128,1,128,256,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.linear_attn.out_proj.weight,model-00003-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,gdn,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp.experts.down_proj,model-00005-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,1,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.1.mlp.experts.gate_up_proj,model-00004-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,1,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.1.mlp.gate.weight,model-00005-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp.shared_expert.down_proj.weight,model-00005-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp.shared_expert.gate_proj.weight,model-00005-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp.shared_expert.up_proj.weight,model-00005-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp.shared_expert_gate.weight,model-00005-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp_hyper_connection.block_inject_weight.weight,model-00005-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp_hyper_connection.hc_norm.weight,model-00005-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_down.weight,model-00005-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_up.weight,model-00005-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.1.ple.conv1d.weight,model-00037-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_dense,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.key_proj.weight,model-00005-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_dense,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.norm_conv.weight,model-00005-of-00131.safetensors,BF16,10240,1,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_dense,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.norm_key.weight,model-00005-of-00131.safetensors,BF16,10240,1,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_dense,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.norm_query.weight,model-00005-of-00131.safetensors,BF16,10240,1,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_dense,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.layer_multipliers,model-00005-of-00131.safetensors,I64,3,1,3,24,ple_ngram,ple_address_metadata,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_address_metadata,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_0.weight,model-00005-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_1.weight,model-00005-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_10.weight,model-00008-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_100.weight,model-00030-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_101.weight,model-00030-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_102.weight,model-00031-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_103.weight,model-00031-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_104.weight,model-00031-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_105.weight,model-00031-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_106.weight,model-00032-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_107.weight,model-00032-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_108.weight,model-00032-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_109.weight,model-00032-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_11.weight,model-00008-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_110.weight,model-00033-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_111.weight,model-00033-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_112.weight,model-00033-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_113.weight,model-00033-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_114.weight,model-00034-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_115.weight,model-00034-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_116.weight,model-00034-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_117.weight,model-00034-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_118.weight,model-00035-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_119.weight,model-00035-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_12.weight,model-00008-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_120.weight,model-00035-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_121.weight,model-00035-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_122.weight,model-00036-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_123.weight,model-00036-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_124.weight,model-00036-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_125.weight,model-00036-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_126.weight,model-00037-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_127.weight,model-00037-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_13.weight,model-00008-of-00131.safetensors,BF16,2500012x160,2,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:ple_embedding_table,PLE_PREFETCH_CANDIDATE,
